 População Residente - Estimativas para o TCU - Rio Grande do Sul;
População estimada por Ano;
Período:2000-2021;
Ano;População_estimada
2000;10077267
2001;10309819
2002;10408540
2003;10510992
2004;10726063
2005;10845087
2006;10963219
2007;10582887
2008;10855214
2009;10914128
2010;10695532
2011;10733030
2012;10770603
2013;11164043
2014;11207274
2015;11247972
2016;11286500
2017;11322895
2018;11329605
2019;11377239
2020;11422973
2021;11466630
 Fonte: IBGE - Estimativas de população;
 Notas:;
 ;
 Para alguns anos, os dados aqui apresentados não são comparáveis com as;
 projeções intercensitárias segundo faixa etária e sexo,;
 devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.;
 Veja a nota técnica para detalhes e situações especiais.;
 Devido a decisões judiciais, as populações apresentadas para alguns municípios não é a estimada pelo IBGE. Em decorrência desta situação,;
 os totais apresentados para Unidades da Federação e para o Brasil podem também não corresponder ao estimado pelo IBGE. Veja também a;
 nota técnica.;
 ;
